"indicator","country","countryiso3code","date","value","unit","obs_status","decimal"
"Population, total","United Kingdom","GBR","2020",,"","",0
"Population, total","United Kingdom","GBR","2019",66834405,"","",0
"Population, total","United Kingdom","GBR","2018",66460344,"","",0
"Population, total","United Kingdom","GBR","2017",66058859,"","",0
"Population, total","United Kingdom","GBR","2016",65611593,"","",0
"Population, total","United Kingdom","GBR","2015",65116219,"","",0
"Population, total","United Kingdom","GBR","2014",64602298,"","",0
"Population, total","United Kingdom","GBR","2013",64128273,"","",0
"Population, total","United Kingdom","GBR","2012",63700215,"","",0
"Population, total","United Kingdom","GBR","2011",63258810,"","",0
"Population, total","United Kingdom","GBR","2010",62766365,"","",0
"Population, total","United Kingdom","GBR","2009",62276270,"","",0
"Population, total","United Kingdom","GBR","2008",61806995,"","",0
"Population, total","United Kingdom","GBR","2007",61322463,"","",0
"Population, total","United Kingdom","GBR","2006",60846820,"","",0
"Population, total","United Kingdom","GBR","2005",60401206,"","",0
"Population, total","United Kingdom","GBR","2004",59987905,"","",0
"Population, total","United Kingdom","GBR","2003",59647577,"","",0
"Population, total","United Kingdom","GBR","2002",59370479,"","",0
"Population, total","United Kingdom","GBR","2001",59119673,"","",0
"Population, total","United Kingdom","GBR","2000",58892514,"","",0
"Population, total","United Kingdom","GBR","1999",58682466,"","",0
"Population, total","United Kingdom","GBR","1998",58487141,"","",0
"Population, total","United Kingdom","GBR","1997",58316954,"","",0
"Population, total","United Kingdom","GBR","1996",58166950,"","",0
"Population, total","United Kingdom","GBR","1995",58019030,"","",0
"Population, total","United Kingdom","GBR","1994",57865745,"","",0
"Population, total","United Kingdom","GBR","1993",57718614,"","",0
"Population, total","United Kingdom","GBR","1992",57580402,"","",0
"Population, total","United Kingdom","GBR","1991",57424897,"","",0
"Population, total","United Kingdom","GBR","1990",57247586,"","",0
"Population, total","United Kingdom","GBR","1989",57076711,"","",0
"Population, total","United Kingdom","GBR","1988",56928327,"","",0
"Population, total","United Kingdom","GBR","1987",56802050,"","",0
"Population, total","United Kingdom","GBR","1986",56681396,"","",0
"Population, total","United Kingdom","GBR","1985",56550268,"","",0
"Population, total","United Kingdom","GBR","1984",56422072,"","",0
"Population, total","United Kingdom","GBR","1983",56332848,"","",0
"Population, total","United Kingdom","GBR","1982",56313641,"","",0
"Population, total","United Kingdom","GBR","1981",56333829,"","",0
"Population, total","United Kingdom","GBR","1980",56314216,"","",0
"Population, total","United Kingdom","GBR","1979",56246951,"","",0
"Population, total","United Kingdom","GBR","1978",56196504,"","",0
"Population, total","United Kingdom","GBR","1977",56193492,"","",0
"Population, total","United Kingdom","GBR","1976",56211968,"","",0
"Population, total","United Kingdom","GBR","1975",56225800,"","",0
"Population, total","United Kingdom","GBR","1974",56229974,"","",0
"Population, total","United Kingdom","GBR","1973",56194527,"","",0
"Population, total","United Kingdom","GBR","1972",56086065,"","",0
"Population, total","United Kingdom","GBR","1971",55896223,"","",0
"Population, total","United Kingdom","GBR","1970",55663250,"","",0
"Population, total","United Kingdom","GBR","1969",55441750,"","",0
"Population, total","United Kingdom","GBR","1968",55211700,"","",0
"Population, total","United Kingdom","GBR","1967",54943600,"","",0
"Population, total","United Kingdom","GBR","1966",54648500,"","",0
"Population, total","United Kingdom","GBR","1965",54348050,"","",0
"Population, total","United Kingdom","GBR","1964",54000000,"","",0
"Population, total","United Kingdom","GBR","1963",53650000,"","",0
"Population, total","United Kingdom","GBR","1962",53250000,"","",0
"Population, total","United Kingdom","GBR","1961",52800000,"","",0
"Population, total","United Kingdom","GBR","1960",52400000,"","",0
